Comunidad,Año,Mes,Temperatura Media,Temperatura Minima,Temperatura Maxima,Presion Maxima,Racha
Comunidad Valenciana,2010,Febrero,10.27,5.77,14.77,996.36,11.58
Extremadura,2010,Febrero,8.76,4.92,12.6,969.14,12.07
Galicia,2010,Febrero,7.79,4.1,11.48,981.0,14.32
País Vasco,2010,Febrero,7.81,4.45,11.16,987.25,13.48
Principado de Asturias,2010,Febrero,7.15,4.11,10.19,990.96,14.64
Región de Murcia,2010,Febrero,10.75,6.11,15.4,984.39,11.08
La Rioja,2010,Febrero,6.07,1.9,10.22,968.18,10.93
Ceuta,2010,Febrero,14.61,11.93,17.29,1003.54,13.88
Melilla,2010,Febrero,15.93,12.48,19.38,1007.1,12.19
Andalucía,2010,Marzo,12.61,8.17,17.05,978.83,10.68
Aragón,2010,Marzo,7.35,1.66,13.04,935.43,11.31
Islas Baleares,2010,Marzo,11.02,7.13,14.92,1016.63,11.94
Cataluña,2010,Marzo,9.32,4.5,14.14,978.52,9.46
Canarias,2010,Marzo,19.32,16.09,22.55,982.65,11.81
Cantabria,2010,Marzo,9.7,5.95,13.45,984.26,13.57
Castilla-La Mancha,2010,Marzo,8.37,2.89,13.84,936.66,10.9
Castilla y León,2010,Marzo,6.1,1.28,10.91,912.95,12.02
Comunidad de Madrid,2010,Marzo,6.84,2.26,11.42,911.42,11.47
Comunidad Foral de Navarra,2010,Marzo,8.79,3.53,14.06,974.86,12.96
Comunidad Valenciana,2010,Marzo,11.39,6.56,16.22,1003.95,9.82
Extremadura,2010,Marzo,11.02,6.26,15.78,976.29,10.31
Galicia,2010,Marzo,9.75,5.24,14.25,989.83,13.24
País Vasco,2010,Marzo,9.99,6.04,13.94,997.67,13.28
Principado de Asturias,2010,Marzo,8.36,5.07,11.65,1001.89,12.9
Región de Murcia,2010,Marzo,11.76,6.74,16.8,991.88,9.23
La Rioja,2010,Marzo,9.18,3.76,14.59,977.3,11.35
Ceuta,2010,Marzo,14.6,12.09,17.1,1010.23,12.5
Melilla,2010,Marzo,15.11,12.35,17.88,1013.55,11.16
Andalucía,2010,Abril,16.52,11.36,21.68,975.41,10.31
Aragón,2010,Abril,11.95,5.64,18.25,936.69,8.73
Islas Baleares,2010,Abril,13.75,9.48,18.04,1016.2,9.45
Cataluña,2010,Abril,13.14,7.71,18.58,979.23,8.17
Canarias,2010,Abril,19.67,16.42,22.91,979.15,12.21
Cantabria,2010,Abril,11.9,7.64,16.15,985.91,9.96
Castilla-La Mancha,2010,Abril,13.46,7.15,19.77,936.2,9.85
Castilla y León,2010,Abril,11.15,4.96,17.34,912.75,9.58
Comunidad de Madrid,2010,Abril,12.29,6.78,17.8,915.24,9.69
Comunidad Foral de Navarra,2010,Abril,12.82,6.57,19.08,974.47,9.99
Comunidad Valenciana,2010,Abril,14.7,9.65,19.76,1003.77,8.52
Extremadura,2010,Abril,15.76,10.08,21.44,974.53,9.38
Galicia,2010,Abril,13.71,8.3,19.12,991.63,10.13
País Vasco,2010,Abril,13.06,8.32,17.81,998.02,9.7
Principado de Asturias,2010,Abril,11.98,8.65,15.31,1005.47,9.91
Región de Murcia,2010,Abril,15.43,10.04,20.81,991.52,8.61
La Rioja,2010,Abril,13.86,7.2,20.53,977.41,8.46
Ceuta,2010,Abril,16.79,14.52,19.04,1007.84,9.47
Melilla,2010,Abril,17.41,14.7,20.13,1011.24,9.79
Andalucía,2010,Mayo,17.93,12.2,23.66,976.4,11.07
Aragón,2010,Mayo,13.31,6.93,19.7,934.01,12.19
Islas Baleares,2010,Mayo,16.38,11.95,20.82,1013.03,10.68
Cataluña,2010,Mayo,15.17,9.76,20.57,972.23,9.63
Canarias,2010,Mayo,20.15,17.08,23.22,985.4,12.41
Cantabria,2010,Mayo,12.8,9.14,16.46,984.88,10.75
Castilla-La Mancha,2010,Mayo,15.12,8.53,21.71,933.74,11.1
Castilla y León,2010,Mayo,11.87,5.6,18.14,910.94,10.58
Comunidad de Madrid,2010,Mayo,13.47,7.54,19.38,912.55,11.35
Comunidad Foral de Navarra,2010,Mayo,13.45,7.83,19.07,973.43,12.79
Comunidad Valenciana,2010,Mayo,17.36,11.58,23.15,1000.5,10.54
Extremadura,2010,Mayo,17.11,10.58,23.65,974.34,10.15
Galicia,2010,Mayo,14.46,9.74,19.19,990.82,10.88
País Vasco,2010,Mayo,13.49,9.29,17.68,996.48,10.82
Principado de Asturias,2010,Mayo,12.43,9.22,15.64,1003.84,9.7
Región de Murcia,2010,Mayo,18.31,11.93,24.74,988.52,10.86
La Rioja,2010,Mayo,14.44,8.38,20.5,975.85,8.87
Ceuta,2010,Mayo,18.39,15.29,21.47,1007.59,10.47
Melilla,2010,Mayo,19.5,16.06,22.93,1010.61,12.01
Andalucía,2010,Junio,21.62,15.9,27.34,974.67,9.99
Aragón,2010,Junio,18.13,11.46,24.8,933.98,10.5
Islas Baleares,2010,Junio,20.41,15.77,25.05,1012.83,9.64
Cataluña,2010,Junio,19.82,14.25,25.39,974.22,9.16
Canarias,2010,Junio,21.68,18.75,24.61,985.42,12.57
Cantabria,2010,Junio,15.99,12.31,19.67,985.32,9.61
Castilla-La Mancha,2010,Junio,20.25,13.47,27.03,933.18,10.44
Castilla y León,2010,Junio,16.44,9.86,23.03,910.29,10.08
Comunidad de Madrid,2010,Junio,18.4,12.33,24.48,912.01,10.47
Comunidad Foral de Navarra,2010,Junio,18.01,12.16,23.87,973.22,11.88
Comunidad Valenciana,2010,Junio,21.28,15.96,26.61,1000.07,9.47
Extremadura,2010,Junio,22.42,15.31,29.54,973.16,9.85
Galicia,2010,Junio,17.21,12.37,22.05,987.04,10.14
País Vasco,2010,Junio,16.71,12.74,20.68,995.95,10.14
Principado de Asturias,2010,Junio,15.09,11.98,18.2,1004.29,9.34
Región de Murcia,2010,Junio,22.38,16.5,28.25,988.2,9.64
La Rioja,2010,Junio,19.26,13.2,25.31,975.43,8.53
Ceuta,2010,Junio,21.57,18.04,25.11,1006.17,9.61
Melilla,2010,Junio,22.72,18.72,26.73,1009.07,10.37
Andalucía,2010,Julio,26.9,20.45,33.34,980.38,10.1
Aragón,2010,Julio,23.51,15.4,31.62,937.83,10.65
Islas Baleares,2010,Julio,25.11,20.61,29.61,1014.96,9.24
Cataluña,2010,Julio,25.09,19.74,30.44,980.68,8.95
Canarias,2010,Julio,23.4,20.24,26.55,979.06,12.73
Cantabria,2010,Julio,18.85,14.4,23.3,991.18,8.04
Castilla-La Mancha,2010,Julio,26.5,18.21,34.8,934.91,10.08
Castilla y León,2010,Julio,21.7,13.46,29.94,913.15,9.75
Comunidad de Madrid,2010,Julio,24.93,17.71,32.15,914.56,10.35
Comunidad Foral de Navarra,2010,Julio,22.24,15.49,29.0,975.28,12.03
Comunidad Valenciana,2010,Julio,25.89,20.65,31.14,1002.34,9.27
Extremadura,2010,Julio,28.09,19.83,36.36,974.83,9.49
Galicia,2010,Julio,19.95,14.32,25.59,989.56,10.85
País Vasco,2010,Julio,19.66,15.66,23.67,999.81,8.15
Principado de Asturias,2010,Julio,18.04,14.71,21.37,1006.94,8.19
Región de Murcia,2010,Julio,26.67,20.55,32.79,989.64,9.33
La Rioja,2010,Julio,23.51,16.42,30.62,978.78,8.44
Ceuta,2010,Julio,24.01,20.96,27.09,1007.57,7.9
Melilla,2010,Julio,26.2,23.11,29.3,1010.27,9.46
Andalucía,2010,Agosto,27.24,21.17,33.32,977.06,9.43
Aragón,2010,Agosto,21.69,13.9,29.48,937.34,10.06
Islas Baleares,2010,Agosto,24.4,20.09,28.75,1014.68,10.2
Cataluña,2010,Agosto,23.23,17.5,28.95,981.25,9.46
Canarias,2010,Agosto,24.67,21.36,27.99,978.34,12.31
Cantabria,2010,Agosto,18.88,14.04,23.71,989.06,8.8
Castilla-La Mancha,2010,Agosto,25.2,17.33,33.07,934.19,9.49
Castilla y León,2010,Agosto,20.66,12.39,28.92,912.13,10.03
Comunidad de Madrid,2010,Agosto,23.41,16.15,30.67,914.89,10.29
Comunidad Foral de Navarra,2010,Agosto,21.08,14.34,27.83,974.47,10.65
Comunidad Valenciana,2010,Agosto,25.89,20.75,31.02,1001.72,9.26
Extremadura,2010,Agosto,27.91,20.05,35.76,974.76,9.31
Galicia,2010,Agosto,20.51,14.29,26.72,988.22,10.81
País Vasco,2010,Agosto,19.66,15.09,24.25,998.64,8.63
Principado de Asturias,2010,Agosto,17.98,14.2,21.77,1006.0,8.35
Región de Murcia,2010,Agosto,26.63,20.97,32.24,990.33,8.94
La Rioja,2010,Agosto,22.58,15.27,29.88,978.07,8.21
Ceuta,2010,Agosto,26.17,22.59,29.72,1006.74,9.07
Melilla,2010,Agosto,27.22,23.86,30.57,1009.98,9.22
Andalucía,2010,Septiembre,22.94,17.31,28.58,978.71,9.47
Aragón,2010,Septiembre,17.73,10.82,24.64,935.95,8.96
Islas Baleares,2010,Septiembre,21.54,17.14,25.94,1014.47,10.0
Cataluña,2010,Septiembre,19.67,14.29,25.04,977.07,8.6
Canarias,2010,Septiembre,23.99,21.06,26.92,979.14,11.37
Cantabria,2010,Septiembre,16.16,10.99,21.33,984.69,8.62
Castilla-La Mancha,2010,Septiembre,20.17,13.14,27.19,934.06,8.58
Castilla y León,2010,Septiembre,17.21,9.82,24.61,918.93,8.79
Comunidad de Madrid,2010,Septiembre,18.91,12.71,25.12,914.39,9.04
Comunidad Foral de Navarra,2010,Septiembre,18.15,11.71,24.6,974.03,10.18
Comunidad Valenciana,2010,Septiembre,22.07,16.73,27.42,1001.75,8.85
Extremadura,2010,Septiembre,22.74,15.54,29.95,974.93,8.97
Galicia,2010,Septiembre,18.08,12.51,23.65,989.35,9.58
País Vasco,2010,Septiembre,17.31,12.5,22.13,997.53,9.02
Principado de Asturias,2010,Septiembre,16.26,12.56,19.94,1005.12,9.08
Región de Murcia,2010,Septiembre,22.99,17.19,28.81,990.28,8.82
La Rioja,2010,Septiembre,19.0,12.2,25.8,977.06,7.11
Ceuta,2010,Septiembre,23.13,20.31,25.95,1007.61,8.88
Melilla,2010,Septiembre,24.18,21.26,27.1,1010.71,9.7
Andalucía,2010,Octubre,17.15,11.77,22.53,975.82,9.32
Aragón,2010,Octubre,12.48,6.31,18.65,934.1,10.6
Islas Baleares,2010,Octubre,17.6,13.48,21.71,1012.06,11.68
Cataluña,2010,Octubre,14.84,9.81,19.88,973.88,9.77
Canarias,2010,Octubre,22.48,19.45,25.51,978.94,10.2
Cantabria,2010,Octubre,13.27,8.89,17.66,981.57,11.35
Castilla-La Mancha,2010,Octubre,13.62,6.98,20.27,931.89,8.94
Castilla y León,2010,Octubre,10.9,4.68,17.11,910.31,10.49
Comunidad de Madrid,2010,Octubre,12.19,6.45,17.92,910.9,9.53
Comunidad Foral de Navarra,2010,Octubre,13.48,8.49,18.47,969.49,12.02
Comunidad Valenciana,2010,Octubre,17.01,11.74,22.28,999.5,9.08
Extremadura,2010,Octubre,16.05,9.96,22.13,973.05,9.04
Galicia,2010,Octubre,14.02,9.65,18.41,985.75,11.46
País Vasco,2010,Octubre,14.22,10.01,18.42,993.71,11.33
Principado de Asturias,2010,Octubre,13.33,9.81,16.85,1001.21,11.71
Región de Murcia,2010,Octubre,17.92,12.06,23.78,988.78,9.04
La Rioja,2010,Octubre,13.65,7.84,19.47,974.43,9.33
Ceuta,2010,Octubre,19.59,16.82,22.37,1006.34,9.44
Melilla,2010,Octubre,20.24,17.1,23.38,1009.45,9.99
Andalucía,2010,Noviembre,12.29,8.08,16.5,976.86,9.89
Aragón,2010,Noviembre,6.61,1.52,11.7,932.41,9.57
Islas Baleares,2010,Noviembre,13.19,9.54,16.83,1011.07,13.07
Cataluña,2010,Noviembre,9.86,5.0,14.71,972.87,9.62
Canarias,2010,Noviembre,20.66,17.82,23.5,979.08,11.55
Cantabria,2010,Noviembre,8.99,5.34,12.62,980.49,12.44
Castilla-La Mancha,2010,Noviembre,7.77,2.9,12.64,931.31,9.35
Castilla y León,2010,Noviembre,5.5,0.94,10.06,906.98,10.16
Comunidad de Madrid,2010,Noviembre,6.42,2.28,10.57,909.02,9.51
Comunidad Foral de Navarra,2010,Noviembre,7.74,3.7,11.78,971.22,10.37
Comunidad Valenciana,2010,Noviembre,12.69,7.73,17.66,999.69,10.11
Extremadura,2010,Noviembre,10.43,5.81,15.05,974.62,9.19
Galicia,2010,Noviembre,9.87,6.47,13.26,987.5,11.46
País Vasco,2010,Noviembre,10.02,6.9,13.15,993.72,13.39
Principado de Asturias,2010,Noviembre,8.91,6.0,11.83,1000.85,12.52
Región de Murcia,2010,Noviembre,12.91,7.92,17.9,988.62,9.51
La Rioja,2010,Noviembre,8.32,3.76,12.85,973.69,8.89
Ceuta,2010,Noviembre,15.86,13.11,18.64,1007.25,10.84
Melilla,2010,Noviembre,16.54,13.5,19.58,1010.77,11.73
Andalucía,2010,Diciembre,11.36,7.61,15.11,980.05,11.2
Aragón,2010,Diciembre,4.21,-0.53,8.95,932.57,9.77
Islas Baleares,2010,Diciembre,10.47,6.63,14.3,1013.29,12.21
Cataluña,2010,Diciembre,7.15,2.55,11.75,974.39,8.72
Canarias,2010,Diciembre,19.46,16.45,22.47,976.44,12.15
Cantabria,2010,Diciembre,6.59,2.91,10.28,987.29,11.63
Castilla-La Mancha,2010,Diciembre,5.86,1.52,10.2,931.51,9.7
Castilla y León,2010,Diciembre,3.63,-0.48,7.75,906.62,9.77
Comunidad de Madrid,2010,Diciembre,4.98,1.02,8.94,910.85,9.13
Comunidad Foral de Navarra,2010,Diciembre,4.66,0.61,8.72,972.61,10.42
Comunidad Valenciana,2010,Diciembre,9.44,4.54,14.34,1001.05,8.58
Extremadura,2010,Diciembre,8.96,5.39,12.54,974.3,10.54
Galicia,2010,Diciembre,8.06,4.8,11.32,986.03,10.92
País Vasco,2010,Diciembre,7.11,3.39,10.83,994.52,11.88
Principado de Asturias,2010,Diciembre,6.33,3.51,9.16,1001.12,10.93
Región de Murcia,2010,Diciembre,9.88,4.89,14.93,989.47,8.79
La Rioja,2010,Diciembre,5.34,1.2,9.47,974.79,9.34
Ceuta,2010,Diciembre,15.14,12.84,17.46,1006.99,11.44
Melilla,2010,Diciembre,15.07,11.79,18.36,1010.7,11.24
Andalucía,2011,Enero,10.45,6.48,14.42,984.19,8.89
Aragón,2011,Enero,4.28,-0.58,9.14,938.27,8.37
Islas Baleares,2011,Enero,9.73,5.83,13.63,1017.13,10.37
Cataluña,2011,Enero,6.96,2.04,11.88,990.79,7.51
Canarias,2011,Enero,17.68,14.42,20.93,983.26,10.44
Cantabria,2011,Enero,7.37,4.52,10.23,987.58,10.22
Castilla-La Mancha,2011,Enero,5.56,0.97,10.14,935.45,8.63
Castilla y León,2011,Enero,3.95,0.37,7.53,913.29,8.93
Comunidad de Madrid,2011,Enero,4.76,0.99,8.54,913.77,8.24
Comunidad Foral de Navarra,2011,Enero,4.95,0.99,8.92,975.15,9.5
Comunidad Valenciana,2011,Enero,9.53,4.47,14.58,1004.93,7.91
Extremadura,2011,Enero,8.02,4.21,11.83,977.75,8.6
Galicia,2011,Enero,8.74,5.7,11.78,989.0,11.64
País Vasco,2011,Enero,8.07,4.99,11.15,999.53,10.21
Principado de Asturias,2011,Enero,6.86,4.26,9.47,982.22,10.17
Región de Murcia,2011,Enero,10.06,4.91,15.16,992.92,7.52
La Rioja,2011,Enero,6.11,1.97,10.24,979.08,7.86
Ceuta,2011,Enero,14.4,12.08,16.72,1012.12,11.34
Melilla,2011,Enero,14.06,11.08,17.05,1014.45,10.22
Andalucía,2011,Febrero,11.31,5.96,16.65,985.73,9.79
Aragón,2011,Febrero,7.03,0.98,13.08,939.94,10.06
Islas Baleares,2011,Febrero,10.6,6.43,14.77,1017.86,11.13
Cataluña,2011,Febrero,9.07,3.53,14.6,981.45,8.88
Canarias,2011,Febrero,17.26,14.14,20.38,988.16,10.92
Cantabria,2011,Febrero,8.35,3.87,12.82,992.01,11.33
Castilla-La Mancha,2011,Febrero,7.74,1.2,14.28,937.2,10.12
Castilla y León,2011,Febrero,5.54,-0.15,11.24,914.63,9.78
Comunidad de Madrid,2011,Febrero,6.58,1.22,11.93,916.83,10.29
Comunidad Foral de Navarra,2011,Febrero,7.4,2.15,12.65,978.0,10.78
Comunidad Valenciana,2011,Febrero,11.23,5.32,17.14,1004.47,9.98
Extremadura,2011,Febrero,9.88,3.96,15.8,981.22,9.19
Galicia,2011,Febrero,9.39,5.16,13.63,992.45,11.9
País Vasco,2011,Febrero,9.64,5.44,13.85,1000.22,12.02
Principado de Asturias,2011,Febrero,8.39,5.06,11.72,985.75,11.32
Región de Murcia,2011,Febrero,11.69,5.53,17.85,994.53,10.08
La Rioja,2011,Febrero,7.91,2.23,13.6,980.33,8.63
Ceuta,2011,Febrero,14.41,11.33,17.5,1014.18,11.3
Melilla,2011,Febrero,13.93,10.25,17.6,1017.34,11.93
Andalucía,2011,Marzo,12.72,8.2,17.23,981.37,10.64
Aragón,2011,Marzo,8.98,3.68,14.28,946.47,10.37
Islas Baleares,2011,Marzo,12.11,8.48,15.75,1017.77,11.32
Cataluña,2011,Marzo,10.55,5.86,15.22,974.89,9.2
Canarias,2011,Marzo,16.99,13.79,20.18,982.22,12.19
Cantabria,2011,Marzo,9.95,5.84,14.06,992.1,10.33
Castilla-La Mancha,2011,Marzo,9.29,4.08,14.5,934.32,11.27
Castilla y León,2011,Marzo,7.17,2.09,12.24,911.35,10.75
Comunidad de Madrid,2011,Marzo,7.63,3.28,11.98,914.59,11.01
Comunidad Foral de Navarra,2011,Marzo,9.42,4.76,14.07,977.27,10.97
Comunidad Valenciana,2011,Marzo,12.02,7.55,16.49,1004.64,10.12
Extremadura,2011,Marzo,11.57,6.74,16.4,975.91,10.12
Galicia,2011,Marzo,11.03,6.25,15.81,988.95,9.85
País Vasco,2011,Marzo,10.86,6.96,14.75,999.57,11.72
Principado de Asturias,2011,Marzo,9.01,5.9,12.12,981.5,11.07
Región de Murcia,2011,Marzo,12.91,8.36,17.47,991.89,10.38
La Rioja,2011,Marzo,10.04,4.89,15.18,979.2,10.3
Ceuta,2011,Marzo,14.71,12.37,17.06,1009.05,10.81
Melilla,2011,Marzo,15.05,12.34,17.75,1012.49,11.4
Andalucía,2011,Abril,17.4,12.12,22.69,980.3,10.52
Aragón,2011,Abril,14.65,7.92,21.38,946.49,10.56
Islas Baleares,2011,Abril,16.27,11.6,20.94,1014.08,10.08
Cataluña,2011,Abril,15.26,9.55,20.97,972.05,9.0
Canarias,2011,Abril,18.7,15.53,21.86,980.94,12.07
Cantabria,2011,Abril,13.25,8.3,18.2,985.18,9.5
Castilla-La Mancha,2011,Abril,15.33,8.41,22.24,932.25,10.04
Castilla y León,2011,Abril,12.78,6.42,19.14,910.26,9.77
Comunidad de Madrid,2011,Abril,14.23,8.41,20.04,915.09,9.82
Comunidad Foral de Navarra,2011,Abril,14.68,8.69,20.69,974.76,10.64
Comunidad Valenciana,2011,Abril,16.29,10.94,21.63,1002.29,8.85
Extremadura,2011,Abril,17.37,11.48,23.28,972.43,9.58
Galicia,2011,Abril,15.72,10.13,21.31,986.92,10.08
País Vasco,2011,Abril,14.81,10.32,19.29,996.73,10.2
Principado de Asturias,2011,Abril,12.75,9.33,16.17,983.24,9.88
Región de Murcia,2011,Abril,17.11,11.44,22.76,990.17,9.6
La Rioja,2011,Abril,15.36,9.32,21.38,976.91,9.63
Ceuta,2011,Abril,17.26,14.54,19.97,1006.74,9.74
Melilla,2011,Abril,17.63,14.89,20.38,1010.08,9.76
Andalucía,2011,Mayo,20.2,14.93,25.48,984.69,10.02
Aragón,2011,Mayo,17.33,10.16,24.49,946.35,11.05
Islas Baleares,2011,Mayo,19.09,14.14,24.04,1016.89,10.11
Cataluña,2011,Mayo,18.18,12.41,23.96,975.46,9.17
Canarias,2011,Mayo,20.38,17.42,23.35,981.42,10.55
Cantabria,2011,Mayo,15.25,11.09,19.41,994.86,8.98
Castilla-La Mancha,2011,Mayo,17.91,10.91,24.91,934.47,9.97
Castilla y León,2011,Mayo,15.96,8.85,23.06,921.13,9.87
Comunidad de Madrid,2011,Mayo,17.08,10.96,23.2,915.75,9.57
Comunidad Foral de Navarra,2011,Mayo,17.0,10.26,23.74,976.98,11.72
Comunidad Valenciana,2011,Mayo,19.2,13.97,24.43,1002.95,8.95
Extremadura,2011,Mayo,20.46,13.94,26.98,976.22,9.69
Galicia,2011,Mayo,16.54,11.21,21.86,989.5,11.55
País Vasco,2011,Mayo,16.2,11.74,20.65,1000.51,9.53
Principado de Asturias,2011,Mayo,13.78,10.62,16.93,982.62,9.22
Región de Murcia,2011,Mayo,19.89,14.1,25.65,992.7,9.74
La Rioja,2011,Mayo,17.88,11.06,24.69,979.37,9.56
Ceuta,2011,Mayo,19.31,16.59,22.04,1009.53,8.3
Melilla,2011,Mayo,20.02,17.25,22.79,1012.65,10.05
Andalucía,2011,Junio,23.53,17.31,29.78,981.28,9.62
Aragón,2011,Junio,19.81,12.57,27.05,943.17,10.88
Islas Baleares,2011,Junio,21.44,16.63,26.26,1015.2,9.14
Cataluña,2011,Junio,20.34,15.32,25.36,974.38,8.84
Canarias,2011,Junio,22.74,19.55,25.93,981.64,12.17
Cantabria,2011,Junio,16.53,11.93,21.13,989.78,8.95
Castilla-La Mancha,2011,Junio,22.27,14.39,30.15,935.28,9.88
Castilla y León,2011,Junio,17.82,10.25,25.41,917.74,9.83
Comunidad de Madrid,2011,Junio,20.85,13.82,27.87,915.16,9.67
Comunidad Foral de Navarra,2011,Junio,18.61,12.14,25.09,976.08,11.08
Comunidad Valenciana,2011,Junio,22.03,17.0,27.06,1002.05,8.73
Extremadura,2011,Junio,23.14,15.22,31.07,979.22,9.65
Galicia,2011,Junio,17.3,11.82,22.76,989.7,10.42
País Vasco,2011,Junio,17.4,13.05,21.75,998.43,9.67
Principado de Asturias,2011,Junio,15.34,11.82,18.85,986.31,9.12
Región de Murcia,2011,Junio,23.49,17.63,29.32,990.74,9.39
La Rioja,2011,Junio,20.17,13.67,26.68,978.44,8.47
Ceuta,2011,Junio,23.02,19.71,26.34,1008.75,9.38
Melilla,2011,Junio,23.55,20.4,26.7,1011.18,9.04
Andalucía,2011,Julio,25.4,19.21,31.59,980.89,9.93
Aragón,2011,Julio,21.25,13.83,28.66,941.2,12.29
Islas Baleares,2011,Julio,24.16,19.81,28.53,1012.54,10.78
Cataluña,2011,Julio,22.0,16.88,27.3,972.56,10.14
Canarias,2011,Julio,23.03,20.04,26.03,979.95,13.12
Cantabria,2011,Julio,17.72,13.81,21.64,1002.61,9.97
Castilla-La Mancha,2011,Julio,23.97,15.93,32.01,932.73,10.59
Castilla y León,2011,Julio,18.77,10.88,26.66,916.17,10.58
Comunidad de Madrid,2011,Julio,22.02,14.67,29.37,913.08,11.41
Comunidad Foral de Navarra,2011,Julio,19.88,13.96,25.81,973.39,12.08
Comunidad Valenciana,2011,Julio,24.69,19.88,29.49,998.88,9.78
Extremadura,2011,Julio,25.35,17.17,33.52,976.69,9.85
Galicia,2011,Julio,18.27,13.4,23.13,990.29,10.62
País Vasco,2011,Julio,17.92,14.11,21.72,997.78,10.35
Principado de Asturias,2011,Julio,16.19,12.89,19.49,987.06,9.79
Región de Murcia,2011,Julio,26.34,20.54,32.12,988.68,10.31
La Rioja,2011,Julio,21.32,14.46,28.2,976.44,8.83
Ceuta,2011,Julio,24.65,21.22,28.08,1005.73,10.43
Melilla,2011,Julio,25.64,22.15,29.13,1008.67,10.69
Andalucía,2011,Agosto,26.45,20.33,32.57,981.04,9.98
Aragón,2011,Agosto,23.81,15.91,31.72,942.58,10.5
Islas Baleares,2011,Agosto,25.68,20.92,30.45,1013.82,9.51
Cataluña,2011,Agosto,24.02,18.36,29.93,984.08,8.8
Canarias,2011,Agosto,23.69,20.63,26.75,979.58,12.23
Cantabria,2011,Agosto,19.12,14.7,23.55,988.52,9.28
Castilla-La Mancha,2011,Agosto,25.37,17.36,33.39,933.4,10.63
Castilla y León,2011,Agosto,20.66,12.85,28.46,910.72,10.65
Comunidad de Madrid,2011,Agosto,23.19,16.04,30.33,909.0,10.97
Comunidad Foral de Navarra,2011,Agosto,23.14,15.93,30.34,973.63,11.73
Comunidad Valenciana,2011,Agosto,25.69,20.68,30.71,1003.62,9.05
Extremadura,2011,Agosto,25.67,17.94,33.41,974.52,9.51
Galicia,2011,Agosto,19.25,13.75,24.75,989.56,10.41
País Vasco,2011,Agosto,20.1,15.61,24.6,996.94,9.71
Principado de Asturias,2011,Agosto,17.99,14.48,21.49,989.43,10.3
Región de Murcia,2011,Agosto,27.11,21.15,33.04,990.88,9.67
La Rioja,2011,Agosto,24.02,16.13,31.91,976.41,9.01
Ceuta,2011,Agosto,26.12,22.12,30.1,1006.47,8.96
Melilla,2011,Agosto,26.98,23.78,30.17,1009.49,9.31
Andalucía,2011,Septiembre,23.45,17.36,29.55,980.58,9.33
Aragón,2011,Septiembre,20.79,13.02,28.55,944.3,9.05
Islas Baleares,2011,Septiembre,23.59,18.66,28.51,1016.07,9.37
Cataluña,2011,Septiembre,21.78,15.9,27.64,978.68,8.25
Canarias,2011,Septiembre,23.74,20.6,26.85,982.16,11.49
Cantabria,2011,Septiembre,18.32,13.11,23.53,986.98,8.77
Castilla-La Mancha,2011,Septiembre,21.43,13.3,29.56,935.29,8.85
Castilla y León,2011,Septiembre,18.44,10.29,26.59,917.49,8.6
Comunidad de Madrid,2011,Septiembre,20.18,13.13,27.23,913.52,8.74
Comunidad Foral de Navarra,2011,Septiembre,20.53,13.74,27.33,977.09,10.33
Comunidad Valenciana,2011,Septiembre,23.02,17.34,28.69,1002.86,8.64
